,name,id,address_name,price_limit,Европейская кухня,Паназиатская кухня,Русская кухня,Американская кухня,Грузинская кухня,Постное меню,Вегетарианское меню,Cuisine,price_limit,office_time,reviews_general_rating,reviews_general_review_count
35,"Эхо, ресторан",70000001087684036,"Восстания, 33",2300.0,0,0,0,0,0,0,0,Авторская кухня,2300.0,6.51,4.5,78.0
36,"Cette, гастрономический ресторан",70000001080574613,"Жуковского, 59-61",2000.0,1,0,0,0,0,0,0,Европейская кухня,2000.0,7.77,4.6,19.0
37,"United butchers, мясной бар-ресторан",70000001023948215,"Восстания, 26",1600.0,1,0,0,1,0,0,0,Американская кухня; Европейская кухня,1600.0,6.44,4.6,351.0
38,"Atlas Vin Bistro, уютный ресторан",70000001041411511,"2-я Советская улица, 4Б",1500.0,1,0,0,0,0,0,0,Французская кухня; Авторская кухня,1500.0,9.76,4.7,80.0
39,"Брюссель. Original Belgian, паб",70000001006328517,"Восстания, 20",2500.0,1,0,0,0,0,0,0,Европейская кухня,2500.0,7.17,4.7,175.0
40,"Under the sea, ресторан японской кухни",70000001039847310,"Восстания, 23",1500.0,0,1,0,0,0,0,0,Японская кухня,1500.0,8.05,4.6,106.0
41,"Giallo, ресторан",70000001059828851,"Восстания, 16",1500.0,1,0,0,0,0,0,0,Итальянская кухня,1500.0,7.82,4.7,86.0
42,"Beer House, сеть баров",5348552838621573,"улица Некрасова, 25",1200.0,1,0,0,0,0,1,0,Европейская кухня,1200.0,7.15,4.6,314.0
43,"Китай-город, ресторан",70000001007179228,"3-я Советская улица, 5",1200.0,0,1,0,0,0,0,0,Китайская кухня,1200.0,10.67,4.5,68.0
44,"Макколи, ресторан корейской кухни",70000001031720529,"Лиговский проспект, 25",1100.0,0,1,0,0,0,0,0,Корейская кухня,1100.0,9.11,4.7,1121.0
45,"Блок, мясной ресторан",70000001020080231,"Потёмкинская улица, 4",4500.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня,4500.0,7.47,4.4,96.0
46,"Giovanni medici , итальянский ресторан",70000001082510691,"Чайковского, 83/7",1300.0,1,0,0,0,0,0,0,Европейская кухня; Итальянская кухня; Средиземноморская кухня,1300.0,8.09,4.7,56.0
47,"Декантер, ресторан",5348553838704992,"Воскресенская набережная, 4",1500.0,1,0,1,0,0,1,0,Европейская кухня; Русская кухня; Авторская кухня,1500.0,13.96,4.9,22.0
