,name,id,address_name,price_limit,Европейская кухня,Паназиатская кухня,Русская кухня,Американская кухня,Грузинская кухня,Постное меню,Вегетарианское меню,Cuisine,price_limit,office_time,reviews_general_rating,reviews_general_review_count
0,"True Meat, мясной ресторан",70000001062607100,"Киевская, 5 к3",2000.0,1,0,0,0,0,0,0,Европейская кухня; Авторская кухня,2000.0,1.35,4.0,61.0
1,"Umami, ресторан паназиатской кухни",70000001041700085,"Киевская, 3",1500.0,0,1,0,0,0,0,0,Паназиатская кухня,1500.0,2.46,3.6,190.0
2,"Империал, кафе-ресторан",5348552841707409,"Смоленская, 1",1300.0,1,1,0,0,1,1,0,Европейская кухня; Японская кухня; Кавказская кухня,1300.0,3.85,4.6,148.0
3,"Peperoni, итальянский ресторан",70000001044123489,"Смоленская, 10",1200.0,1,0,0,0,0,0,0,Европейская кухня; Итальянская кухня,1200.0,4.01,4.6,289.0
4,"Manneken pis, бельгийский бар-ресторан",70000001037484456,"Московский проспект, 73 к3 лит А",1300.0,1,0,0,0,0,0,0,Европейская кухня; Средиземноморская кухня,1300.0,4.93,4.1,53.0
5,"The kitchen, ресторан",5348553838508619,"Московский проспект, 73",1500.0,1,0,0,0,1,0,0,Грузинская кухня,1500.0,6.79,3.6,116.0
6,"Cocos Lounge, лаундж-бар",70000001064302309,"Парфёновская, 14 к1",3000.0,1,1,0,0,0,0,0,Европейская кухня; Паназиатская кухня; Итальянская кухня,3000.0,8.53,4.9,297.0
7,"Yujin, ресторан",70000001047532423,"Парфёновская, 11 к1",1500.0,0,1,0,0,0,0,0,Японская кухня; Паназиатская кухня; Азиатская кухня; Китайская кухня,1500.0,8.89,4.5,99.0
8,Armonia gastrobar,70000001078828281,"Парфёновская, 9 к2",1500.0,1,0,0,0,1,0,0,Европейская кухня; Авторская кухня; Армянская кухня,1500.0,11.13,4.0,14.0
9,"Чито Гврито, ресторан грузинской кухни",5348552839177045,"Московский проспект, 61",800.0,1,0,0,0,1,0,0,Грузинская кухня,800.0,11.53,2.9,172.0
10,"Korovabar, ресторан",5348552838481120,"Московский проспект, 97 лит А",2000.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня,2000.0,11.78,2.9,46.0
11,"Милано, ресторан",5348552840229785,"Московский проспект, 97 лит А",1200.0,1,0,0,0,0,0,0,Итальянская кухня,1200.0,11.78,3.6,4.0
12,"Чайхона, ресторан",70000001091635999,"набережная Обводного канала, 118 лит С",1500.0,0,1,0,0,0,0,0,Восточная кухня,1500.0,12.34,3.5,66.0
13,"Yujin, ресторан",70000001066228323,"набережная Обводного канала, 118 лит С",800.0,0,1,0,0,0,0,0,Японская кухня; Паназиатская кухня; Азиатская кухня,800.0,12.59,2.7,40.0
14,"Pinzeria by bontempi, ресторан",70000001066228298,"набережная Обводного канала, 118 лит С",900.0,1,0,0,0,0,0,0,Итальянская кухня,900.0,12.62,4.5,164.0
15,"Buana Cafe, ресторан",70000001090087896,"набережная Обводного канала, 118 лит С",1800.0,1,0,0,0,0,0,0,Европейская кухня,1800.0,12.78,4.7,38.0
16,Avenue 55,70000001050842768,"Московский проспект, 55",1000.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня; Итальянская кухня,1000.0,12.86,4.7,319.0
17,"Мисо, ресторан",5348552839930470,"Московский проспект, 48",700.0,0,1,0,0,0,1,0,Азиатская кухня,700.0,13.28,4.3,214.0
18,"Сациви, ресторан грузинской кухни",70000001007236099,"Малодетскосельский проспект, 30",700.0,1,0,0,0,1,0,0,Европейская кухня; Грузинская кухня,700.0,13.58,4.6,99.0
19,"Токио-City, городские рестораны",70000001077228846,"набережная Обводного канала, 118 лит С",900.0,0,1,0,0,0,0,0,Японская кухня,900.0,13.6,4.6,272.0
20,Таверна Греческой кухни,70000001069912122,"7-я Красноармейская улица, 5 лит А",1200.0,1,0,0,0,0,0,0,Средиземноморская кухня; Греческая кухня,1200.0,14.29,4.9,67.0
21,"Crazy hunter, мясной ресторан",70000001006747776,"Расстанная, 2 к1",1500.0,1,0,1,0,0,1,0,Европейская кухня; Русская кухня,1500.0,14.51,4.5,21.0
22,"Cosmos St.Petersburg Olympia Garden, ресторан европейской кухни",5348552838479880,"Батайский переулок, 3а",1300.0,1,0,0,0,0,0,0,Европейская кухня,1300.0,15.9,3.7,6.0
23,"Itameshi, ресторан",70000001092556586,"Ташкентская, 6 к2",2500.0,1,1,0,0,0,0,0,Авторская кухня; Итальянская кухня; Азиатская кухня,2500.0,16.11,4.9,16.0
24,"Оджахури, ресторан грузинской кухни",70000001027419809,"7-я Красноармейская улица, 28-30",1200.0,1,0,0,0,1,1,0,Грузинская кухня,1200.0,16.19,4.6,231.0
25,"Руки ВВерх!, бар",70000001062548514,"Московский проспект, 111",3000.0,1,0,1,1,0,0,0,Европейская кухня; Русская кухня; Американская кухня,3000.0,17.56,4.4,453.0
26,"Sahara, ресторан",70000001055671097,"Прилукская, 15",600.0,1,1,0,0,0,0,0,Европейская кухня; Арабская кухня,600.0,18.28,4.0,25.0
